Deprecated_Index,NAME,HIS,MBTI,source,url
7166,Lola Flanery,Wizards,ENTJ,https://boo.world/database/profile/12151/lola-flanery-personality-type,boo.world
7167,Blake Ritson,Healers,ENFP,https://boo.world/database/profile/2343/blake-ritson-personality-type,boo.world
7168,Cher,Healers,ENFP,https://boo.world/database/profile/3467/cher-personality-type,boo.world
7169,Natalie Lander,Knights,ESFJ,https://boo.world/database/profile/14400/natalie-lander-personality-type,boo.world
7171,Anders Danielsen Lie,Knights,ESFJ,https://boo.world/database/profile/1010/anders-danielsen-lie-personality-type,boo.world
7172,Kurt Yaeger,Explorers,ISFP,https://boo.world/database/profile/11316/kurt-yaeger-personality-type,boo.world
7174,Bob Hoskins,Healers,INFP,https://boo.world/database/profile/2376/bob-hoskins-personality-type,boo.world
7175,Reiko Aylesworth,Knights,ISFJ,https://boo.world/database/profile/16095/reiko-aylesworth-personality-type,boo.world
7176,David S. Lee,Knights,ESFJ,https://boo.world/database/profile/4788/david-s-lee-personality-type,boo.world
7177,Joanne Vannicola,Explorers,ISFP,https://boo.world/database/profile/9297/joanne-vannicola-personality-type,boo.world
7178,Mel Blanc,Healers,ENFP,https://boo.world/database/profile/13466/mel-blanc-personality-type,boo.world
7179,Carmine Giovinazzo,Wizards,ENTJ,https://boo.world/database/profile/3060/carmine-giovinazzo-personality-type,boo.world
7180,Josie Davis,Knights,ISTJ,https://boo.world/database/profile/10040/josie-davis-personality-type,boo.world
7181,Lanny Joon,Explorers,ESTP,https://boo.world/database/profile/11416/lanny-joon-personality-type,boo.world
7182,Sally Phillips,Healers,ENFJ,https://boo.world/database/profile/17031/sally-phillips-personality-type,boo.world
7183,Brontis Jodorowsky,Wizards,INTJ,https://boo.world/database/profile/2734/brontis-jodorowsky-personality-type,boo.world
7184,Willie Nelson,Explorers,ISFP,https://boo.world/database/profile/19917/willie-nelson-personality-type,boo.world
7185,Edward Dogliani,Wizards,INTP,https://boo.world/database/profile/5549/edward-dogliani-personality-type,boo.world
7186,Edna Purviance,Healers,ENFP,https://boo.world/database/profile/5531/edna-purviance-personality-type,boo.world
7187,Lisa Guerrero,Knights,ESTJ,https://boo.world/database/profile/12046/lisa-guerrero-personality-type,boo.world
7188,Victoria Ruesga,Explorers,ESTP,https://boo.world/database/profile/19588/victoria-ruesga-personality-type,boo.world
7189,Corinne Foxx,Knights,ESTJ,https://boo.world/database/profile/4077/corinne-foxx-personality-type,boo.world
7190,Woo-Ping Yuen,Wizards,INTJ,https://boo.world/database/profile/19943/woo-ping-yuen-personality-type,boo.world
7191,Carmen Filpi,Healers,ENFP,https://boo.world/database/profile/3054/carmen-filpi-personality-type,boo.world
7192,Jason O'Mara,Explorers,ESTP,https://boo.world/database/profile/8552/jason-omara-personality-type,boo.world
7193,Friederike Becht,Wizards,INTJ,https://boo.world/database/profile/6556/friederike-becht-personality-type,boo.world
7194,Brenda Benet,Wizards,INTP,https://boo.world/database/profile/2531/brenda-benet-personality-type,boo.world
